user;age;gender;residence;religion;maritalstatus;profession;politicalorientation;sexualorientation;numfriends;like1;like2;like3;classvalue;auth;community
9929;18-25;female;Palo Alto;Other religions;Single;Sales and office;Center Right;Heterosexual;LOW;entertainment;entertainment;entertainment;NO;0.017045;1
9928;18-25;female;Cambridge;Buddhist;Married;Student;Left;Heterosexual;LOW;music artist;tv show;soccer club;NO;0.034091;5
9927;18-25;female;Santa Barbara;Christian;Single;Sales and office;Center Left;Heterosexual;LOW;entertainment;entertainment;entertainment;NO;0.045455;1
9925;56-65;female;Boston;Christian;Married;Sales and office;Center;Heterosexual;LOW;tv show;drink brand;soccer club;NO;0.017045;0
9924;18-25;female;San Jose;Jewish;Single;Production transportation;Far Left;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.028409;4
9923;56-65;male;Santa Barbara;Hindu;Married;Natural resources construction;Right;Heterosexual;LOW;music artist;music artist;drink brand;NO;0.056818;3
9922;46-55;female;San Jose;Christian;Married;Production transportation;Left;Heterosexual;LOW;entertainment;entertainment;soccer club;NO;0.068182;4
9921;18-25;male;Palo Alto;Buddhist;Single;Student;Far Left;Heterosexual;LOW;drink brand;drink brand;soccer club;NO;0.051136;1
9920;66-75;female;San Jose;Other religions;Married;Service;Left;Heterosexual;LOW;entertainment;tv show;entertainment;NO;0.017045;4
9918;76-85;female;San Jose;Jewish;Divorced;Production transportation;Left;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.039773;4
9917;36-45;female;San Jose;Hindu;Single;Professional;Center;Heterosexual;LOW;tv show;music artist;drink brand;NO;0.011364;0
9914;56-65;female;Cambridge;Christian;Married;Professional;Center Right;Heterosexual;LOW;drink brand;tv show;drink brand;NO;0.034091;1
9913;46-55;female;Santa Barbara;Christian;Widowed;Production transportation;Left;Homosexual;LOW;entertainment;entertainment;entertainment;NO;0.034091;4
9912;46-55;female;San Jose;Jewish;Married;Manager;Center Right;Heterosexual;LOW;drink brand;drink brand;entertainment;NO;0.005682;1
9911;66-75;female;Boston;Hindu;Divorced;Service;Right;Bisexual;LOW;music artist;music artist;entertainment;NO;0.011364;3
9910;56-65;male;Santa Barbara;Hindu;Single;Natural resources construction;Right;Heterosexual;LOW;music artist;music artist;entertainment;NO;0.045455;3
9909;76-85;female;Palo Alto;Muslim;Married;Production transportation;Far Left;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.039773;4
9908;56-65;female;San Jose;Muslim;Married;Sales and office;Right;Heterosexual;LOW;music artist;tv show;soccer club;NO;0.022727;5
9905;18-25;female;Winthrop;Muslim;Single;Professional;Center Right;Heterosexual;LOW;music artist;tv show;soccer club;NO;0.028409;5
9904;36-45;female;Winthrop;Christian;Divorced;Sales and office;Right;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.045455;0
9903;66-75;female;San Jose;Jewish;Married;Production transportation;Far Left;Heterosexual;LOW;music artist;music artist;entertainment;NO;0.034091;4
9902;56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction;Right;Homosexual;LOW;tv show;entertainment;entertainment;NO;0.039773;3
9901;56-65;female;Santa Barbara;Sikh;Married;Production transportation;Center;Bisexual;LOW;drink brand;tv show;soccer club;NO;0.005682;3
9900;26-35;female;Boston;Hindu;Divorced;Service;Left;Homosexual;LOW;tv show;entertainment;entertainment;NO;0.034091;3
9899;36-45;female;Boston;Jewish;Single;Natural resources construction;Far Right;Heterosexual;LOW;music artist;music artist;drink brand;NO;0.022727;4
9897;56-65;female;Santa Barbara;Hindu;Single;Natural resources construction;Right;Heterosexual;LOW;tv show;entertainment;entertainment;NO;0.005682;3
9896;36-45;male;Santa Barbara;Buddhist;Divorced;Service;Center;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.005682;2
9894;56-65;male;Palo Alto;Christian;Married;Production transportation;Center Left;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.051136;1
9893;56-65;female;San Jose;Buddhist;Married;Natural resources construction;Center;Heterosexual;LOW;music artist;music artist;drink brand;NO;0.034091;3
9892;36-45;male;Santa Barbara;Hindu;Single;Natural resources construction;Right;Heterosexual;LOW;tv show;entertainment;entertainment;NO;0.062500;3
9891;66-75;female;San Jose;Christian;Single;Production transportation;Left;Heterosexual;LOW;entertainment;tv show;entertainment;NO;0.028409;4
9890;66-75;female;San Jose;Muslim;Married;Production transportation;Center Right;Homosexual;LOW;entertainment;entertainment;music artist;NO;0.017045;4
9889;56-65;female;Santa Barbara;Hindu;Widowed;Natural resources construction;Center Right;Heterosexual;LOW;tv show;drink brand;soccer club;NO;0.068182;3
9888;66-75;female;San Jose;Muslim;Divorced;Natural resources construction;Center Right;Heterosexual;LOW;tv show;drink brand;soccer club;NO;0.056818;4
9887;66-75;female;San Jose;Christian;Married;Production transportation;Left;Heterosexual;LOW;entertainment;tv show;entertainment;NO;0.034091;4
9885;36-45;male;Palo Alto;Christian;Divorced;Service;Center;Heterosexual;LOW;drink brand;tv show;soccer club;NO;0.017045;1
9884;56-65;male;Boston;Muslim;Single;Student;Far Left;Heterosexual;LOW;tv show;drink brand;soccer club;NO;0.051136;3
9883;66-75;female;San Jose;Christian;Divorced;Production transportation;Left;Heterosexual;LOW;entertainment;tv show;soccer club;NO;0.079545;4
9882;36-45;male;Boston;No religious affiliation;Married;Sales and office;Center;Heterosexual;LOW;tv show;music artist;drink brand;NO;0.068182;0
9880;26-35;female;San Jose;Buddhist;Widowed;Sales and office;Center;Heterosexual;LOW;drink brand;tv show;drink brand;NO;0.051136;2
9879;26-35;female;Santa Barbara;Buddhist;Single;Natural resources construction;Center Right;Heterosexual;LOW;tv show;entertainment;entertainment;NO;0.045455;3
9878;26-35;female;Santa Barbara;Hindu;Widowed;Service;Center Right;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.011364;5
9877;18-25;male;Palo Alto;Hindu;Divorced;Student;Center Left;Heterosexual;LOW;drink brand;tv show;drink brand;NO;0.017045;1
9876;56-65;female;Cambridge;Hindu;Married;Student;Center Left;Homosexual;LOW;drink brand;tv show;drink brand;NO;0.005682;1
9875;36-45;female;Palo Alto;Christian;Married;Service;Center;Heterosexual;LOW;drink brand;drink brand;entertainment;NO;0.051136;1
9874;66-75;male;San Jose;Buddhist;Single;Student;Center Left;Heterosexual;LOW;entertainment;entertainment;entertainment;NO;0.068182;1
9873;36-45;male;Boston;Jewish;Single;Student;Center Left;Heterosexual;LOW;tv show;drink brand;soccer club;NO;0.045455;1
9872;26-35;male;Palo Alto;Buddhist;Divorced;Professional;Left;Heterosexual;LOW;tv show;entertainment;entertainment;NO;0.022727;3
9871;36-45;male;Cambridge;Hindu;Single;Student;Left;Heterosexual;LOW;tv show;drink brand;soccer club;NO;0.034091;3
9870;36-45;male;Boston;No religious affiliation;Married;Sales and office;Center;Heterosexual;LOW;tv show;music artist;drink brand;NO;0.034091;0
9869;36-45;female;Santa Barbara;Hindu;Single;Professional;Center Right;Heterosexual;LOW;music artist;music artist;music artist;NO;0.051136;3
9868;36-45;male;Palo Alto;Other religions;Single;Sales and office;Center Left;Heterosexual;LOW;drink brand;tv show;drink brand;NO;0.039773;1
9867;76-85;female;Palo Alto;Jewish;Divorced;Natural resources construction;Far Left;Heterosexual;LOW;entertainment;entertainment;entertainment;NO;0.011364;4
9866;18-25;female;Winthrop;Muslim;Single;Professional;Center Right;Heterosexual;LOW;music artist;tv show;soccer club;NO;0.034091;5
9865;76-85;female;San Jose;Buddhist;Married;Student;Center Left;Heterosexual;LOW;drink brand;drink brand;entertainment;NO;0.045455;1
9863;18-25;male;Palo Alto;Christian;Married;Student;Center Left;Heterosexual;LOW;drink brand;drink brand;drink brand;NO;0.056818;1
9861;36-45;female;Winthrop;Muslim;Married;Production transportation;Center Left;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.011364;1
9860;66-75;male;Palo Alto;Hindu;Single;Production transportation;Center Right;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.085227;3
9859;18-25;male;Santa Barbara;Christian;Widowed;Student;Left;Heterosexual;LOW;drink brand;drink brand;entertainment;NO;0.039773;1
9858;56-65;female;Santa Barbara;Hindu;Divorced;Natural resources construction;Right;Heterosexual;LOW;tv show;entertainment;entertainment;NO;0.034091;3
9857;26-35;male;Cambridge;Muslim;Single;Professional;Center Right;Heterosexual;LOW;tv show;drink brand;soccer club;NO;0.022727;5
9856;18-25;male;Palo Alto;Jewish;Divorced;Service;Center Right;Heterosexual;LOW;drink brand;drink brand;entertainment;NO;0.079545;1
9855;56-65;male;Santa Barbara;Hindu;Divorced;Service;Right;Heterosexual;LOW;drink brand;tv show;drink brand;NO;0.062500;3
9854;56-65;female;San Jose;Hindu;Married;Natural resources construction;Right;Heterosexual;LOW;tv show;entertainment;entertainment;NO;0.073864;3
9853;26-35;female;Cambridge;Sikh;Widowed;Sales and office;Center Left;Bisexual;LOW;music artist;music artist;drink brand;YES;0.051136;2
9851;18-25;female;Cambridge;Muslim;Married;Manager;Left;Heterosexual;LOW;drink brand;tv show;drink brand;NO;0.011364;2
9850;56-65;male;Santa Barbara;Hindu;Divorced;Natural resources construction;Right;Heterosexual;LOW;music artist;music artist;drink brand;NO;0.051136;3
9849;56-65;female;Santa Barbara;Hindu;Single;Production transportation;Center Right;Heterosexual;LOW;tv show;entertainment;entertainment;NO;0.096591;3
9848;76-85;male;San Jose;Hindu;Married;Natural resources construction;Right;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.062500;3
9847;56-65;female;Cambridge;Buddhist;Divorced;Sales and office;Center;Asexual;LOW;entertainment;tv show;soccer club;NO;0.039773;2
9846;18-25;male;;Christian;;Professional;Center Left;Heterosexual;LOW;music artist;music artist;entertainment;NO;0.068182;1
9845;56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction;Right;Heterosexual;LOW;tv show;entertainment;entertainment;NO;0.073864;3
9844;18-25;male;Palo Alto;Christian;Single;Student;Center Left;Heterosexual;LOW;drink brand;drink brand;entertainment;NO;0.107955;1
9843;76-85;male;Palo Alto;Hindu;Divorced;Professional;Right;Heterosexual;LOW;music artist;music artist;drink brand;NO;0.051136;1
9842;26-35;female;Boston;Muslim;Divorced;Sales and office;Center Left;Heterosexual;LOW;tv show;drink brand;soccer club;NO;0.011364;0
9841;56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction;Left;Heterosexual;LOW;tv show;entertainment;drink brand;NO;0.028409;9
9837;18-25;female;Winthrop;Muslim;Single;Professional;Center Right;Heterosexual;LOW;music artist;tv show;soccer club;NO;0.017045;5
9835;56-65;female;Palo Alto;Hindu;Divorced;Sales and office;Far Right;Heterosexual;LOW;music artist;music artist;entertainment;NO;0.028409;3
9834;18-25;female;Cambridge;Muslim;Widowed;Professional;Center Left;Bisexual;LOW;entertainment;entertainment;music artist;NO;0.005682;5
9832;18-25;male;Boston;Buddhist;Married;Sales and office;Left;Homosexual;LOW;entertainment;entertainment;music artist;NO;0.011364;2
9830;36-45;male;Winthrop;No religious affiliation;Single;Student;Center;Heterosexual;LOW;drink brand;tv show;drink brand;NO;0.039773;0
9829;56-65;male;Santa Barbara;Christian;Single;Natural resources construction;Far Right;Heterosexual;LOW;music artist;music artist;entertainment;NO;0.017045;3
9828;36-45;female;Winthrop;Muslim;Divorced;Professional;Center Right;Bisexual;LOW;tv show;drink brand;soccer club;NO;0.005682;5
9827;18-25;male;Boston;Buddhist;Married;Sales and office;Left;Homosexual;LOW;entertainment;entertainment;music artist;NO;0.034091;2
9825;18-25;male;Boston;Buddhist;Married;Manager;Center Left;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.068182;1
9824;66-75;female;Santa Barbara;Jewish;Married;Natural resources construction;Far Left;Homosexual;LOW;entertainment;entertainment;music artist;NO;0.017045;4
9822;26-35;female;Winthrop;Muslim;Married;Professional;Center Right;Heterosexual;LOW;tv show;drink brand;soccer club;NO;0.022727;5
9821;66-75;female;San Jose;Christian;Single;Production transportation;Far Left;Heterosexual;LOW;music artist;music artist;drink brand;NO;0.022727;4
9820;18-25;female;Boston;Buddhist;Divorced;Sales and office;Center Left;Heterosexual;LOW;music artist;music artist;entertainment;NO;0.051136;2
9819;76-85;male;Cambridge;Hindu;Married;Manager;Left;Heterosexual;LOW;drink brand;tv show;drink brand;NO;0.011364;4
9818;66-75;male;San Jose;Jewish;Single;Manager;Center;Heterosexual;LOW;music artist;music artist;entertainment;NO;0.011364;4
9817;56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction;Right;Heterosexual;LOW;tv show;entertainment;entertainment;NO;0.068182;3
9816;36-45;female;Winthrop;Buddhist;Single;Natural resources construction;Center;Heterosexual;LOW;entertainment;tv show;soccer club;NO;0.051136;2
9815;76-85;female;San Jose;Jewish;Married;Natural resources construction;Far Left;Heterosexual;LOW;drink brand;tv show;entertainment;NO;0.062500;4
9814;66-75;female;San Jose;Christian;Married;Sales and office;Center;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.034091;4
9813;18-25;male;Palo Alto;Christian;Divorced;Sales and office;Center Left;Heterosexual;LOW;drink brand;tv show;soccer club;NO;0.011364;1
9812;18-25;female;Cambridge;Christian;Divorced;Sales and office;Left;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.022727;2
9811;66-75;male;Palo Alto;Hindu;Married;Natural resources construction;Left;Heterosexual;LOW;tv show;entertainment;drink brand;NO;0.039773;9
9810;18-25;male;San Jose;Muslim;Single;Sales and office;Center Left;Heterosexual;LOW;tv show;drink brand;soccer club;NO;0.051136;1
9809;66-75;female;San Jose;Jewish;Widowed;Production transportation;Left;Heterosexual;LOW;entertainment;entertainment;soccer club;NO;0.045455;4
9808;66-75;female;Cambridge;Buddhist;Married;Professional;Center;Homosexual;LOW;tv show;drink brand;soccer club;NO;0.011364;2
9807;36-45;female;Santa Barbara;Jewish;Single;Production transportation;Far Left;Homosexual;LOW;entertainment;tv show;entertainment;NO;0.045455;4
9806;66-75;male;San Jose;Jewish;Married;Service;Far Left;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.062500;4
9805;18-25;male;Santa Barbara;Christian;Single;Student;Center Left;Heterosexual;LOW;drink brand;drink brand;entertainment;NO;0.096591;1
9804;66-75;female;San Jose;Christian;Single;Natural resources construction;Left;Heterosexual;LOW;entertainment;tv show;entertainment;NO;0.068182;4
9803;26-35;female;Palo Alto;Christian;Married;Production transportation;Center Left;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.017045;4
9801;36-45;female;Winthrop;Buddhist;Divorced;Professional;Far Left;Heterosexual;LOW;music artist;music artist;entertainment;NO;0.005682;5
9800;18-25;male;Palo Alto;Christian;Divorced;Student;Center Right;Heterosexual;LOW;drink brand;tv show;soccer club;NO;0.034091;1
9798;56-65;female;Santa Barbara;Hindu;Married;Student;Center Right;Heterosexual;LOW;drink brand;tv show;drink brand;NO;0.022727;1
9797;46-55;male;Santa Barbara;Buddhist;Single;Natural resources construction;Far Left;Heterosexual;LOW;music artist;entertainment;entertainment;NO;0.056818;3
9796;18-25;female;Santa Barbara;Other religions;Married;Service;Left;Heterosexual;LOW;drink brand;tv show;soccer club;NO;0.045455;1
9795;56-65;female;Cambridge;Muslim;Divorced;Professional;Center Left;Heterosexual;LOW;drink brand;tv show;drink brand;NO;0.028409;2
9794;18-25;female;Winthrop;Muslim;Single;Professional;Center Right;Heterosexual;LOW;music artist;tv show;soccer club;NO;0.017045;5
9792;18-25;female;Winthrop;Muslim;Single;Professional;Center Right;Heterosexual;LOW;music artist;tv show;soccer club;NO;0.051136;5
9791;56-65;female;Santa Barbara;Muslim;Widowed;Professional;Center Right;Heterosexual;LOW;music artist;music artist;drink brand;NO;0.062500;3
9790;66-75;female;San Jose;Christian;Married;Production transportation;Far Left;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.011364;4
9789;26-35;female;Cambridge;Muslim;Widowed;Manager;Center Left;Heterosexual;LOW;entertainment;entertainment;music artist;YES;0.011364;5
9788;66-75;male;Boston;Hindu;Divorced;Natural resources construction;Center Right;Heterosexual;LOW;entertainment;entertainment;entertainment;NO;0.039773;3
9787;66-75;female;San Jose;Jewish;Single;Sales and office;Left;Homosexual;LOW;entertainment;entertainment;music artist;NO;0.045455;4
9786;26-35;female;Palo Alto;Christian;Single;Student;Left;Homosexual;LOW;drink brand;tv show;drink brand;NO;0.073864;1
9785;26-35;female;Palo Alto;Christian;Widowed;Service;Center Left;Heterosexual;LOW;drink brand;entertainment;music artist;NO;0.073864;1
9784;18-25;female;Boston;Muslim;Single;Service;Center Right;Heterosexual;LOW;music artist;tv show;soccer club;NO;0.028409;5
9783;18-25;female;Boston;Other religions;Single;Professional;Center Left;Asexual;LOW;tv show;drink brand;soccer club;NO;0.039773;1
9782;18-25;female;Winthrop;Muslim;Single;Professional;Center Right;Heterosexual;LOW;music artist;tv show;soccer club;NO;0.039773;5
9781;18-25;female;Winthrop;Muslim;Single;Professional;Center Right;Heterosexual;LOW;music artist;tv show;soccer club;NO;0.039773;5
9780;26-35;female;Boston;Hindu;Divorced;Service;Left;Homosexual;LOW;tv show;entertainment;entertainment;NO;0.034091;3
9779;66-75;female;Winthrop;Jewish;Married;Manager;Left;Heterosexual;LOW;music artist;music artist;drink brand;NO;0.022727;3
9778;46-55;male;Santa Barbara;Buddhist;Widowed;Natural resources construction;Far Left;Heterosexual;LOW;music artist;music artist;drink brand;NO;0.051136;3
9777;66-75;male;Santa Barbara;Hindu;Married;Natural resources construction;Right;Heterosexual;LOW;tv show;entertainment;entertainment;NO;0.062500;3
9776;66-75;female;Cambridge;Hindu;Divorced;Manager;Far Left;Heterosexual;LOW;entertainment;tv show;soccer club;NO;0.096591;2
9775;46-55;male;Santa Barbara;Hindu;Single;Natural resources construction;Right;Heterosexual;LOW;tv show;entertainment;entertainment;NO;0.051136;3
9774;18-25;female;Cambridge;Christian;Divorced;Sales and office;Left;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.005682;2
9773;18-25;female;Winthrop;Muslim;Single;Professional;Center Right;Heterosexual;LOW;music artist;tv show;soccer club;NO;0.056818;5
9772;66-75;female;Santa Barbara;Hindu;Married;Sales and office;Center Right;Asexual;LOW;tv show;drink brand;soccer club;NO;0.039773;9
9771;46-55;female;Santa Barbara;Hindu;Single;Production transportation;Right;Heterosexual;LOW;music artist;entertainment;entertainment;NO;0.096591;3
9770;26-35;male;Santa Barbara;Hindu;Married;Manager;Center Right;Homosexual;LOW;entertainment;entertainment;music artist;NO;0.068182;2
9768;26-35;female;Santa Barbara;Jewish;Married;Student;Center Right;Homosexual;LOW;drink brand;drink brand;entertainment;NO;0.079545;1
9767;26-35;female;Cambridge;Christian;Widowed;Professional;Left;Bisexual;LOW;entertainment;entertainment;music artist;YES;0.079545;5
9766;26-35;female;Cambridge;Sikh;Widowed;Sales and office;Center Left;Bisexual;LOW;music artist;music artist;drink brand;YES;0.102273;2
9765;56-65;male;San Jose;Sikh;Single;Natural resources construction;Center Right;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.119318;3
9763;66-75;female;Santa Barbara;Christian;Widowed;Production transportation;Far Left;Heterosexual;LOW;entertainment;tv show;entertainment;NO;0.022727;4
9762;26-35;female;San Jose;Hindu;Married;Production transportation;Right;Heterosexual;LOW;drink brand;tv show;drink brand;NO;0.028409;1
9761;66-75;female;San Jose;Christian;Married;Production transportation;Center Left;Heterosexual;LOW;tv show;drink brand;soccer club;NO;0.034091;4
9759;26-35;male;San Jose;Muslim;Single;Student;Right;Heterosexual;LOW;entertainment;entertainment;entertainment;NO;0.034091;1
9757;18-25;male;Boston;Muslim;Single;Manager;Center Right;Heterosexual;LOW;drink brand;drink brand;entertainment;NO;0.022727;1
9756;46-55;female;Santa Barbara;Christian;Widowed;Production transportation;Left;Homosexual;LOW;entertainment;entertainment;entertainment;NO;0.034091;4
9755;26-35;female;Boston;Christian;Married;Service;Left;Heterosexual;LOW;tv show;drink brand;soccer club;NO;0.011364;0
9754;56-65;female;Palo Alto;Hindu;Married;Production transportation;Center Left;Bisexual;LOW;tv show;drink brand;soccer club;NO;0.028409;3
9753;56-65;male;Santa Barbara;Hindu;Widowed;Production transportation;Right;Bisexual;LOW;tv show;entertainment;entertainment;NO;0.056818;3
9752;18-25;male;Palo Alto;Jewish;Married;Student;Center Left;Heterosexual;LOW;entertainment;drink brand;entertainment;NO;0.045455;1
9751;18-25;female;Winthrop;Christian;Single;Professional;Center Right;Heterosexual;LOW;music artist;tv show;soccer club;NO;0.022727;5
9749;66-75;female;Winthrop;Jewish;Single;Natural resources construction;Center Left;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.056818;4
